Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2811,10,2,0,12,33,2.75,1882,6,20,257,159,19,24
2,9442,11,1,0,12,33,2.75,1697,4,13,256,155,15,22
3,2910,10,2,0,12,31,2.5833333333333335,1627,6,11,237,128,14,23
4,1595,9,3,0,12,30,2.5,1464,7,18,277,115,6,24
5,1318,9,3,0,12,29,2.4166666666666665,1548,3,25,259,115,14,21
6,2930,8,4,0,12,28,2.3333333333333335,1548,5,17,258,125,11,24
7,4513,7,5,0,12,27,2.25,1314,2,19,255,96,10,23
8,955,7,5,0,12,26,2.1666666666666665,1226,5,11,236,95,5,24
9,2926,8,4,0,12,26,2.1666666666666665,1570,2,10,300,111,15,22
10,3826,7,5,0,12,25,2.0833333333333335,1186,6,13,234,94,4,23
11,6343,7,5,0,12,25,2.0833333333333335,1293,2,6,161,156,7,23
12,4125,7,5,0,12,24,2.0,1460,1,14,206,147,13,22
13,2412,8,4,0,12,24,2.0,1390,0,19,224,110,14,20
14,4692,6,6,0,12,23,1.9166666666666667,1088,4,19,171,113,3,23
15,9680,6,6,0,12,23,1.9166666666666667,1126,3,9,192,99,7,23
16,3712,5,7,0,12,22,1.8333333333333333,1068,7,13,176,87,3,24
17,2980,5,7,0,12,22,1.8333333333333333,1162,7,8,214,83,6,24
18,5920,5,7,0,12,22,1.8333333333333333,1100,5,9,177,97,5,24
19,9613,5,7,0,12,22,1.8333333333333333,1168,4,10,221,86,7,23
20,4980,5,7,0,12,22,1.8333333333333333,1272,3,17,234,120,3,24
21,4104,6,6,0,12,22,1.8333333333333333,1062,2,16,223,78,3,21
22,3574,6,6,0,12,22,1.8333333333333333,1163,2,6,267,70,6,22
23,6350,5,7,0,12,21,1.75,1031,6,8,199,77,4,23
24,6831,5,7,0,12,21,1.75,1171,6,8,171,121,2,23
25,2147,4,8,0,12,21,1.75,1245,2,7,293,80,7,24
26,4512,4,8,0,12,21,1.75,1062,1,19,226,81,3,24
27,4131,5,7,0,12,20,1.6666666666666667,1131,5,12,203,98,5,21
28,9438,4,8,0,12,19,1.5833333333333333,1082,4,9,205,84,4,23
29,4060,4,8,0,12,19,1.5833333333333333,1092,3,8,243,81,3,22
30,2903,4,8,0,12,19,1.5833333333333333,1003,2,7,146,111,3,23
31,3876,4,8,0,12,18,1.5,982,4,15,153,89,5,22
32,8532,4,8,0,12,18,1.5,1047,3,8,205,86,3,22
33,10103,5,7,0,12,18,1.5,1143,2,6,218,97,7,20
34,4061,3,9,0,12,17,1.4166666666666667,1078,3,9,190,94,5,23
35,6076,2,10,0,12,14,1.1666666666666667,878,2,4,199,65,2,22
