Number,Name,Country,State,City,District,Closest/Event1,Event2,Event3,Event4,W.E.C.,W.E.2,W.E.3,W.E.4,W.E.5,W.E.6,Rand1,Rand2,Rand3,R@E2,R@E4,SC12,SC13,SC23
1,The Juggernauts,USA,Michigan,Pontiac,FIM,MITR2,MIKE1,*,,3,1,,,,,0.4122141459,,,0,,2,,
4,Team 4 ELEMENT,USA,California,Van Nuys,Regional,CALA,CAP2,*,,3,2,,,,,0.8092551815,,,0,,1,,
8,Paly Robotics,USA,California,Palo Alto,Regional,CASJ,CAAT,CAFR,*,3,5,2,,,,0.04595265832,0.1305994623,,0,0,-2,1,3
11,MORT,USA,New Jersey,Flanders,FMA,NJFLA,NJSKI,NJTAB,*,3,5,1,,,,0.3034486102,0.4539746913,,0,5,-2,2,4
16,Bomb Squad,USA,Arkansas,Mountain Home,Regional,ARSE,ILCH,*,,6,1,,,,,0.7128946347,,,0,,5,,
20,The Rocketeers,USA,New York,Clifton Park,Regional,NYAL,NYRO,*,,4,6,,,,,0.7751168203,,,0,,-2,,
21,ComBBAT,USA,Florida,Titusville,Regional,FLOR,FLTA,*,,6,4,,,,,0.7167479313,,,0,,2,,
25,Raider Robotix,USA,New Jersey,North Brunswick,FMA,NJSKI,NJTAB,NJALL,*,5,1,4,,,,0.08798924868,0.9889288928,,5,4,4,1,-3
27,Team RUSH,USA,Michigan,Clarkston,FIM,MIHIG,MIKE2,TXDAL,*,5,2,4,,,,0.4490708041,0.4232213525,,1,1,3,1,-2
28,Pierson Whalers,USA,New York,Sag Harbor,Regional,NYHE,NYAL,*,,3,4,,,,,0.5176626091,,,0,,-1,,
31,Prime Movers,USA,Oklahoma,Jenks,Regional,OKTU,OKOK,*,,5,2,,,,,0.8577803964,,,0,,3,,
33,Killer Bees,USA,Michigan,Auburn Hills,FIM,MITR2,MIBEL,ONWIN,*,3,4,1,,,,0.6292238013,0.972502478,,0,5,-1,2,3
34,Rockets,USA,Alabama,Athens,Regional,ALHU,TNKN,*,,4,1,,,,,0.09933912651,,,0,,3,,
41,RoboWarriors,USA,New Jersey,Warren,FMA,NJSKI,NJFLA,*,,5,3,,,,,0.0006151038954,,,0,,2,,
45,TechnoKats Robotics Team,USA,Indiana,Kokomo,FIN,INPLA,INMIS,INWAS,*,1,3,4,,,,0.187762255,0.9504352943,,3,1,-2,-3,-1
48,Team E.L.I.T.E.,USA,Ohio,Warren,Regional,OHCL,OHCI,*,*,3,6,,,,,0.3178762461,0.6577314951,,0,,-3,3,6
51,Wings of Fire,USA,Michigan,Pontiac,FIM,MITR2,MIBEL,*,,3,4,,,,,0.2895002071,,,0,,-1,,
56,R.O.B.B.E.,USA,New Jersey,Bound Brook,FMA,NJSKI,NJFLA,*,,5,3,,,,,0.07067263674,,,0,,2,,
58,The Riot Crew,USA,Maine,South Portland,NE,MELEW,NHSAL,*,,1,5,,,,,0.874319193,,,2,,-4,,
59,RamTech,USA,Florida,Miami,Regional,FLFL,FLOR,LAKE,*,2,6,5,,,,0.3267054637,0.3397557596,,0,0,-4,-3,1
60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),USA,Arizona,Kingman,Regional,NVLV,AZSC,*,,3,2,,,,,0.6804453439,,,0,,1,,
61,The Intimidators,USA,Massachusetts,Upton,NE,MAWOR,RIKIN,*,,4,5,,,,,0.8626758546,,,0,,-1,,
66,Grizzly Robotics,USA,Michigan,Ypsilanti,FIM,MIBEL,MIBCT,*,,4,3,,,,,0.9899925323,,,0,,1,,
67,The HOT Team,USA,Michigan,Highland,FIM,MIHIG,MIALL,MILUD,*,5,3,1,,,,0.04404202074,0.5988959925,,0,0,2,4,2
68,Truck Town Thunder,USA,Michigan,Ortonville,FIM,MIKE2,MIMAS,MIMTP,*,2,5,4,,,,0.03122255972,0.1307826074,,1,0,-3,-2,1
69,HYPER,USA,Massachusetts,Quincy,NE,MAREV,MAWOR,*,,1,4,,,,,0.05809217631,,,2,,-3,,
70,More Martians,USA,Michigan,Goodrich,FIM,MIKE2,MIMAS,*,,2,5,,,,,0.06128304203,,,1,,-3,,
71,Team Hammond,USA,Indiana,Hammond,FIN,INMIS,INCOL,*,,3,2,,,,,0.4627091921,,,3,,1,,
